Player,Club,Goals,Penalties_Scored,Headed_Goals,Assists,Passes,Through_Balls,Shots,Shots_on_Target,Interceptions,Blocks,Clean Sheets,Position,Apperence
Erling Haaland,Manchester City,36,7,7,8,480,4,123,60,3,4,,FW,35
Harry Kane,Tottenham Hotspur,30,5,10,3,851,20,130,63,2,7,,FW,38
Ivan Toney,Brentford,20,6,2,4,736,12,94,42,14,9,,FW,33
Mohamed Salah,Liverpool,19,2,1,12,1120,14,125,47,6,0,,FW,38
Callum Wilson,Newcastle United,18,3,3,5,235,2,73,35,1,0,,FW,31
Marcus Rashford,Manchester United,17,0,3,5,779,2,108,50,7,4,,FW,35
Gabriel Martinelli,Arsenal,15,0,3,5,977,8,79,32,9,1,,FW,36
Martin Ødegaard,Arsenal,15,0,0,7,1689,23,93,33,6,5,,MF,37
Ollie Watkins,Aston Villa,15,1,3,6,551,0,86,47,10,4,,FW,37
Aleksandar Mitrovic,Fulham,14,4,6,1,489,4,93,35,3,5,,FW,24
